Brand ,Product,Size ,Category,Date Purchased,Bought $/ Edit Price Only,Sold $ ,Total Profit $,Sold Platform,Date Sold 
Rick Owens,Ramones 'crust',44,Shoes ,,329.79,357.34,27.55,,
Chanel ,Bijou Logo Necklace ,OS,Jewelry,07/27/202,246.29,0,-246.29,,
Carol Christian Poell ,Sweater ,46,Tops,,246.29,245.03,-1.26,,
Rick Owens ,PonyHair Geobasket,43,Shoes ,,246.29,425.58,179.29,,
Rick Owens,Geobasket ,41,Shoes ,,246.29,423.85,177.56,,
Chanel ,Necklace ,OS,Jewelry,,246.29,317.34,71.05,,
Loewe,Ibiza Sunglasses ,OS,Accessory,8/13/20,272.21,245.81,-26.4,,
Rick Owens ,Geobasket,42,Shoes ,,272.21,397.93,125.72,,
Chanel ,Necklace ,OS,Jewelry,,272.21,,-272.21,,
Rick Owens ,Cargo Sandals,8,Shoes ,,272.21,433.68,161.47,,
Rick Owens,Tyrone Jeans ,31,Bottoms,8/20/20,240.31,251.55,11.24,,
Chanel ,Crystal Necklace w/ heart,OS,Jewelry,,240.31,,-240.31,,
Rick Owens ,Reverse Leather Geobasket ,42,Shoes ,,240.31,343.11,102.8,,
Chanel ,Baguette Necklace ,OS,Jewelry,,240.31,306.01,65.7,,
Rick Owens ,Combat Boots ,42,Shoes ,,240.31,404.44,164.13,,
Chanel ,Centerstone Necklace ,OS,Jewelry,,240.31,,-240.31,,
Rick Owens,Ramones Low,43,Shoes ,10/9/20,293.25,,-293.25,,
Rick Owens,Ramones Low,42,Shoes ,,293.25,328.77,35.52,,
Rick Owens x Adidas ,Cargo Sandals,40.5,Shoes ,,293.25,433.92,140.67,,
Rick Owens x Birkenstock,Pony hair Arizona Sandals ,44,Shoes ,,293.25,373.36,80.11,,
Rick Owens ,Pony Hair ramones,40,Shoes ,10/14/20,310,580,270,,
Rick Owens DRKSHDW,Ramones ,41,Shoes ,,0,403.7,403.7,,
Rick Owens ,Ramones,41,Shoes ,11/4/20,311.16,339.43,28.27,,
Rick Owens DRKSHDW,Ramones ,43,Shoes ,,311.16,445.83,134.67,,
Chanel ,Sports Cap ,OS,Hat,,311.16,,-311.16,,
Rick Owens ,Geobasket ,41,Shoes ,,311.16,350.04,38.88,,
Rick Owens ,Deer Leather Ramones ,41,Shoes ,11/19/20,296.1,328.05,31.95,,
Rick Owens ,Geobasket ,41,Shoes ,,296.1,392.97,96.87,,
Rick Owens x Birkenstock,Pony hair Arizona Sandals ,40,Shoes ,,296.1,342.08,45.98,,
Rick Owens DRKSHDW,Ramones ,41,Shoes ,,296.1,341.41,45.31,,
Rick Owens x Adidas ,Cargo Sandals,42,Shoes ,12/17/20,236.03,433.15,197.12,,
Original Fake ,Companion Pillow,OS,Accessory,,236.03,,-236.03,,
Undercover ,2008 Anarchy Sweater,2,Tops,,236.03,,-236.03,,
Original Fake ,Kaws Pillow,OS,Accessory,,236.03,,-236.03,,
Martin Margiela ,A/W 2004 Square Toe Boots,41,Shoes ,,236.03,,-236.03,,
