Brand ,Item Name ,Category,Bought Price,,Sold Price ,Sold Platform ,,,,,,,,,,,,,
Prada ,Prada Shoulder/Backpack ,Bag,106.61,160,53.39,Grailed,,,,,,,,,,,,,
Issey Miyake ,Issey Miyake Sport Hoodie ,Tops,106.61,175,68.39,Instagram,,,,,,,,,,,,,
Issey Miyake ,Issey Miyake Sport Hoodie ,Tops,106.61,174,67.39,Instagram,,,,,,,,,,,,,
Issey Miyake ,Issey Miyake Sport Sweatpants ,Bottoms,106.61,160.3,53.69,Instagram,,,,,,,,,,,,,
Issey Miyake ,Issey Miyake Sport Sweatpants ,Bottoms,106.61,113.59,6.98,Grailed ,,,,,,,,,,,,,
Prada ,Prada Sport backpack ,Bag,106.61,128.21,21.6,,,,,,,,,,,,,,
Visvim,Visvim Noragi ,Tops,106.61,247.26,140.65,Grailed ,,,,,,,,,,,,,
Margiela ,A/W 2010 Martin Margiela Graffiti Pants Black,Bottoms,106.61,193.33,86.72,Grailed ,,,,,,,,,,,,,
Undercover ,Undercover A/W 2010 Less But Better Hiking Boots,Shoes,106.61,154.53,47.92,Grailed ,,,,,,,,,,,,,
Undercover ,Undercover Barbed Wire Fleece Jacket ,Outerwear,106.61,230,123.39,Meetup,,,,,,,,,,,,,
Chanel ,Chanel Sneaker sz 41.5,Shoes,210,251,41,,,,,,,,,,,,,,
N/A,Chanel Sneaker sz 37.5,Shoes,0,,0,Returned,,,,,,,,,,,,,
Chanel ,Chanel Double C Centerstone necklace (green) ,Jewelry,124.61,,-124.61,,,,,,,,,,,,,,
Chanel ,Chanel Encrusted Double C Necklace ,Jewelry,124.61,214.95,90.34,,,,,,,,,,,,,,
Issey Miyake ,Issey Miyake Convertible Backpack ,Bag,124.61,,-124.61,Grailed,,,,,,,,,,,,,
Chanel ,Chanel Lock ,Jewelry,124.61,,-124.61,,,,,,,,,,,,,,
Raf Simons ,Rick Owens Puffer Kneck Jacket ,Outerwear,124.61,190.28,65.67,Grailed ,,,,,,,,,,,,,
Chanel ,Chanel Double C Centerstone necklace (pink),Jewelry,124.61,165.94,41.33,,,,,,,,,,,,,,
Undercover ,Undercover S/S 10 Less But Better Waistbag,Bag,124.61,,-124.61,Grailed ,,,,,,,,,,,,,
